Province_Code,2021_TOINC_Median,2021_TOTEX_Median,W_PROV_N,Region_Code,Region_Name,2021_TOINC_Sum,2021_TOTEX_Sum,2018_TOINC_Median,2018_TOTEX_Median,2018_TOINC_Sum,2018_TOTEX_Sum
1001300000,168693,109066,Bukidnon,1000000000,Region X - Northern Mindanao,371004770,221663505,152951,106882,307572156,193124329
1001800000,192567,147538,Camiguin,1000000000,Region X - Northern Mindanao,222867383,154739109,182692,155306.5,170692239,134604097
1003500000,169280.5,113517.5,Lanao del Norte,1000000000,Region X - Northern Mindanao,738444071,466456626,174818,124723.5,680392386,459288283
1004200000,170620,158527,Misamis Occidental,1000000000,Region X - Northern Mindanao,387425474,326436557,152231.5,131796.5,295936043,243060721
1004300000,203340,153559,Misamis Oriental,1000000000,Region X - Northern Mindanao,896761505,639505491,201058,154739,837805912,601886554
102800000,284676.5,199503.5,Ilocos Norte,100000000,Region I - Ilocos Region,582073365,374480375,243130,184941,510397604,343352056
102900000,220926.5,157753,Ilocos Sur,100000000,Region I - Ilocos Region,499452482,322801133,208455,145148,439724341,272635479
103300000,227231,172876.5,La Union,100000000,Region I - Ilocos Region,516316448,355832705,238337,172909,470927467,309201407
105500000,206280.5,156646.5,Pangasinan,100000000,Region I - Ilocos Region,430876203,302178746,205650,168281,382514615,292538324
1102300000,199414.5,147946.5,Davao del Norte,1100000000,Region XI - Davao,401381593,283614329,194355,153012,370078534,264523768
1102400000,217275,151067.5,Davao del Sur,1100000000,Region XI - Davao,973582121,609728258,211657,162031,819420841,563392869
1102500000,155334,120618,Davao Oriental,1100000000,Region XI - Davao,321615104,228208984,138545,121444,273888854,213650627
1108200000,156685,115322,Davao de Oro,1100000000,Region XI - Davao,318987851,212758161,159817.5,120996.5,288260290,189701237
1108600000,127950.5,98669,Davao Occidental,1100000000,Region XI - Davao,264423567,191122151,122276.5,94146.5,227184089,159732082
1204700000,164230,130567.5,Cotabato,1200000000,Region XII - SOCCSKSARGEN,350394028,258842928,159685.5,138561,347593882,229506744
1206300000,181010,146641,South Cotabato,1200000000,Region XII - SOCCSKSARGEN,780949267,557560801,192770,171493,719003592,565719934
1206500000,144407,120781,Sultan Kudarat,1200000000,Region XII - SOCCSKSARGEN,317277211,236475056,140516,126473.5,282063916,213813871
1208000000,124834.5,103213,Sarangani,1200000000,Region XII - SOCCSKSARGEN,249802049,201664232,121813.5,115862.5,207282698,181212817
1303900000,338571,316518,First District,1300000000,National Capital Region,543650573,476745879,342526,306554,566779944,486127380
1307400000,361821.5,293658.5,Second District,1300000000,National Capital Region,2457948559,1923096079,374000,318817,2329350196,1861383347
1307500000,289122.5,220534.5,Third District,1300000000,National Capital Region,2137444623,1569206315,305200,249822,1898692403,1472845654
1307600000,334614.5,263408.5,Fourth District,1300000000,National Capital Region,3722722121,2774680771,381513,305937.5,3270056592,2529539611
1400100000,187904,143846.5,Abra,1400000000,Cordillera Administrative Region,399370154,275963482,177267,135318,321657489,228585720
1401100000,283267,225593,Benguet,1400000000,Cordillera Administrative Region,1047161068,755957206,296905,218843.5,1004134028,664143170
1402700000,234872,159253,Ifugao,1400000000,Cordillera Administrative Region,500092146,319934208,210730,144422,448396586,259197155
1403200000,271989,211527,Kalinga,1400000000,Cordillera Administrative Region,606325631,424810851,236036,186684,495677142,319715873
1404400000,190328,138673,Mountain Province,1400000000,Cordillera Administrative Region,419337574,282760977,168894,132719,331433341,213263289
1408100000,232894,147176,Apayao,1400000000,Cordillera Administrative Region,225719848,136625541,173045,132660,179690912,114920786
1600200000,174880.5,157006.5,Agusan del Norte,1600000000,Region XIII - Caraga,836680405,670345694,166170,148220,708566443,559280700
1600300000,141400,136738,Agusan del Sur,1600000000,Region XIII - Caraga,327582674,292297764,148229,127260.5,326938257,247294271
1606700000,162981.5,144553,Surigao del Norte,1600000000,Region XIII - Caraga,208798774,155875546,168960,155569,331764336,271819272
1606800000,170654.5,142173.5,Surigao del Sur,1600000000,Region XIII - Caraga,377868387,286952599,168064.5,137879.5,350921558,252094491
1608500000,169345,109509,Dinagat Islands,1600000000,Region XIII - Caraga,174826240,109590092,151929,125711,128483862,96327979
1704000000,167057,149806,Marinduque,1700000000,Region IVB - MIMAROPA,332427282,269642481,175145,142437,323006837,241381412
1705100000,169856.5,135911.5,Occidental Mindoro,1700000000,Region IVB - MIMAROPA,379344223,270079113,159030,137114,317717759,233029610
1705200000,195600,149643,Oriental Mindoro,1700000000,Region IVB - MIMAROPA,432109240,307972139,206483.5,151353,402721529,249945640
1705300000,186755,133509.5,Palawan,1700000000,Region IVB - MIMAROPA,813186811,511265740,201265,148454,688184960,471051886
1705900000,142352.5,133610.5,Romblon,1700000000,Region IVB - MIMAROPA,319704795,256340334,142623.5,118961.5,318276402,219364372
1900700000,125411,98907.5,Basilan,1900000000,Autonomous Region in Muslim Mindanao,241642293,184012636,109320,105976,200906628,181117229
1903600000,225850,203718,Lanao del Sur,1900000000,Autonomous Region in Muslim Mindanao,472525524,419638646,135958,116613,298048448,232262141
1906600000,147112.5,106687.5,Sulu,1900000000,Autonomous Region in Muslim Mindanao,247834846,178614527,125256.5,105060,170243528,133904031
1907000000,158511.5,115088,Tawi-tawi,1900000000,Autonomous Region in Muslim Mindanao,310460585,207039532,152775,95256.5,244736347,142272315
1908700000,137430,120676.5,Maguindanao,1900000000,Autonomous Region in Muslim Mindanao,254633184,217115417,135885,124986.5,241106851,204739446
1909900000,179940,155169,Cotabato City,1200000000,Region XII - SOCCSKSARGEN,228128761,189685512,175046,153131,188168568,147172157
200900000,329049.5,247491,Batanes,200000000,Region II - Cagayan Valley,305994005,206725064,282944,199371.5,245211361,158631865
201500000,206251,167902.5,Cagayan,200000000,Region II - Cagayan Valley,449636277,329484116,203434,152254,391296207,252752425
203100000,194178,146341,Isabela,200000000,Region II - Cagayan Valley,448090760,288093128,172735,134580,340850660,228905897
205000000,197235,161270,Nueva Vizcaya,200000000,Region II - Cagayan Valley,395570095,311069093,205324.5,159726.5,413938909,269413146
205700000,224592,149895,Quirino,200000000,Region II - Cagayan Valley,482571266,294951308,188728.5,139109.5,407718325,263029280
300800000,261602.5,218150,Bataan,300000000,Region III - Central Luzon,534474676,400786585,296340.5,262117,524793599,402285742
301400000,268683.5,211396.5,Bulacan,300000000,Region III - Central Luzon,504150221,374774627,280110,231873,480050718,376821690
304900000,203896.5,148991.5,Nueva Ecija,300000000,Region III - Central Luzon,393241387,273534923,219844,182057,432841525,314224904
305400000,336215,289327,Pampanga,300000000,Region III - Central Luzon,1189354849,991791127,302800,266567,892651167,758877641
306900000,237452.5,208987.5,Tarlac,300000000,Region III - Central Luzon,464727068,386258986,218172.5,202688,394562848,339035179
307100000,234995,227657,Zambales,300000000,Region III - Central Luzon,854952637,784469355,264041.5,261157.5,827130517,751401388
307700000,188146.5,170450.5,Aurora,300000000,Region III - Central Luzon,417860646,339905444,185845,178744,399854806,314499787
401000000,280600,209424,Batangas,400000000,Region IVA - CALABARZON,539005305,384688459,266740,205902.5,495488979,342796275
402100000,306058,258873,Cavite,400000000,Region IVA - CALABARZON,541677331,433854557,312630,275392,453046276,388358305
403400000,267412,223134,Laguna,400000000,Region IVA - CALABARZON,505912836,388599509,302509.5,258198.5,524129002,419843627
405600000,196839,180716,Quezon,400000000,Region IVA - CALABARZON,638531557,549567583,201772.5,187006.5,625728118,522036428
405800000,325177,264514,Rizal,400000000,Region IVA - CALABARZON,629836706,484849917,349565,278957,580156346,442383223
